name,city,address,phone,hours
Hundred Burgers,Madrid,Calle de Fuencarral 45,917011445,L-J 13-00h | V-S 13-01h | D 13-00h
La Chelinda,Madrid,Calle de Calatrava 24,913658066,L-J 13-16:30 y 20-00h | V 13-01h | S 13-01h | D 13-00h
Goiko Grill Fuencarral,Madrid,Calle de Fuencarral 95,914457834,Todos los días 13-00h
Goiko Grill Gran Via,Madrid,Gran Via 36,915218444,Todos los días 13-00h
Goiko Grill Velazquez,Madrid,Calle de Velazquez 80,914314550,Todos los días 13-00h
Bacoa Raimundo Fernandez Villaverde,Madrid,Calle Raimundo Fernandez Villaverde 79,911236598,Todos los días 13-23:30
Bacoa Atocha,Madrid,Paseo de Santa Maria de la Cabeza 25,917376736,Todos los días 13-23:30
Bacoa Arturo Soria,Madrid,Calle de Arturo Soria 126,912931088,Todos los días 13-23:30
Big AL's,Madrid,Calle de Fuencarral 116,914488804,L-J y D 13-00h | V-S 13-01h
Fat Matty's BBQ,Madrid,Calle del Pez 30,915232288,Todos los días 13-00h
Home Burger Bar Madrid,Madrid,Calle del Espiritu Santo 12,915218600,Todos los días 13-00h
La Burguesia,Madrid,Calle de Colon 13,915218444,Todos los días 13-00h
La Burguesia Chamberi,Madrid,Calle de Santa Engracia 89,914470021,Todos los días 13-00h
La Burguesia Serrano,Madrid,Calle de Serrano 89,914318844,Todos los días 13-00h
TGB Plaza de España,Madrid,Calle de la Princesa 3,915429420,Todos los días 13-00h
TGB Orense,Madrid,Calle de Orense 11,914418200,Todos los días 13-00h
TGB La Vaguada,Madrid,Avenida Monforte de Lemos 36,917300900,L-S 12-22h | D 12-22h
Umami Burger Azca,Madrid,Paseo de la Castellana 81,912792500,L-J 13-23h | V-S 13-00h | D 13-23h
Umami Burger Goya,Madrid,Calle de Goya 5,915757200,L-J 13-23h | V-S 13-00h | D 13-23h
The Good Burger Recoletos,Madrid,Calle de Recoletos 11,914021900,Todos los días 13-00h
The Good Burger Castellana,Madrid,Paseo de la Castellana 35,914412800,Todos los días 13-00h
Black and White Burger,Madrid,Calle de Serrano 52,915775500,Todos los días 13-00h
Five Guys Gran Via,Madrid,Gran Via 13,915218200,Todos los días 11-23h
Five Guys La Gavia,Madrid,Calle de Adolfo Bioy Casares 2,917946800,Todos los días 12-22h
Big Mamma Burgers,Madrid,Calle de Fuencarral 151,914484700,Todos los días 13-00h
Hamburguesa Nostra Tribunal,Madrid,Plaza del Rey 6,915218300,Todos los días 13-00h
Hamburguesa Nostra Malasaña,Madrid,Calle de San Vicente Ferrer 44,915218100,Todos los días 13-00h
Nueva York Burger,Madrid,Calle de Atocha 52,914296100,Todos los días 13-00h
La Musa Latina,Madrid,Costanilla de San Pedro 3,913655844,Ma-D 13-00h
Alfredo's Barbacoa,Madrid,Calle de la Reina 31,915216900,Todos los días 13-00h
La Pepita Burger Bar,Madrid,Calle de la Palma 74,915217800,Todos los días 13-00h
Maricastaña,Madrid,Calle de San Joaquin 11,914489600,L-J 13-16:30 y 20-00h | V-S 13-00:30 | D 13-00h
La Tape,Madrid,Calle de la Palma 62,915218700,Todos los días 13-00h
Honest Greens Serrano,Madrid,Calle de Serrano 28,915775100,Todos los días 12-23h
Honest Greens Chamberi,Madrid,Calle de Santa Engracia 136,914484900,Todos los días 12-23h
Vips Smart Plaza Castilla,Madrid,Paseo de la Castellana 177,917326600,Todos los días 08-00h
Vips Smart Goya,Madrid,Calle de Goya 101,915758800,Todos los días 08-00h
Ribs,Madrid,Calle de Fuencarral 124,914488900,Todos los días 13-00h
Tommy Mel's Serrano,Madrid,Calle de Serrano 23,915775900,Todos los días 12-00h
Tommy Mel's Goya,Madrid,Calle de Goya 7,915757900,Todos los días 12-00h
Danny's Diner,Madrid,Calle de San Mateo 1,915216700,Todos los días 13-00h
Beverly Hills Burger,Madrid,Calle de Velazquez 76,914314900,Todos los días 13-00h
Cheese Bar,Madrid,Calle de Hernani 31,915218500,Todos los días 13-00h
Bulldog Cafe,Madrid,Calle de Barquillo 5,915225500,Todos los días 13-01h
Federal Cafe,Madrid,Plaza de las Comendadoras 9,915218900,Todos los días 09-00h
Nancy Burger,Madrid,Calle de San Vicente Ferrer 33,915216500,Todos los días 13-00h
Kuma Burgers,Madrid,Calle de la Palma 37,915217100,Todos los días 13-00h
Pecado Carnal,Madrid,Calle de la Libertad 28,915218800,Todos los días 13-00h
La Vaca Nostra,Madrid,Calle de Santa Isabel 5,914292000,Todos los días 13-00h
Tizoncito,Madrid,Calle de Ponzano 52,914419100,Todos los días 13-00h
BiBo Madrid,Madrid,Paseo de la Castellana 52,912102000,Todos los días 13-00h
Treze,Madrid,Calle de Santa Teresa 13,915222800,Todos los días 13-00h
Santa Rita Experience,Madrid,Calle de la Unión 4,915218400,Todos los días 13-00h
La Máquina de la Moraleja,Madrid,Avenida de Europa 17,916613600,Todos los días 13-00h
SideWalk,Madrid,Calle de San Bernardo 8,915225300,Todos los días 13-00h
Picsa,Madrid,Calle de la Reina 8,915217500,Todos los días 13-00h
Grosso Napoletano,Madrid,Calle de la Libertad 21,915218200,Todos los días 13-00h
El Patio de mi Casa,Madrid,Calle de Santa Isabel 10,914292800,Todos los días 13-00h
Tony Roma's La Vaguada,Madrid,Avenida Monforte de Lemos 36,917300700,Todos los días 12-00h
Burger King Gran Via,Madrid,Gran Via 20,915219500,Todos los días 11-01h
McDonald's Sol,Madrid,Puerta del Sol 14,915227000,Todos los días 08-02h
Vegan Burgers,Madrid,Calle de la Luna 9,915217900,Todos los días 13-00h
The Fitzgerald Burger Company,Madrid,Calle de la Puebla 11,915219800,Todos los días 13-00h
La Mordida,Madrid,Calle de Argensola 7,914421900,Todos los días 13-00h
Monkey Bar,Madrid,Calle del Barco 5,915225800,Todos los días 13-01h
La Chuleta,Madrid,Calle de Echegaray 20,914296900,Todos los días 13-00h
Fire Burger,Madrid,Calle de Toledo 86,913650800,Todos los días 13-00h
Perrachica,Madrid,Calle de Santa Maria 30,914296600,Todos los días 13-00h
La Barra M,Madrid,Calle de Ponzano 11,914418900,Todos los días 13-00h
Burger Nostra,Madrid,Calle de Fuencarral 117,914488200,Todos los días 13-00h
Cream Burger,Madrid,Calle de Hortaleza 74,915219200,Todos los días 13-00h
Grosso Burger,Madrid,Calle de San Mateo 21,915216800,Todos los días 13-00h
Meat Bros,Madrid,Calle de Velazquez 57,914314200,Todos los días 13-00h
The Black Turtle,Madrid,Calle de Fuencarral 125,914488500,Todos los días 13-00h
Bun,Madrid,Calle de San Bernardo 5,915225100,Todos los días 13-00h
Pork Bros,Madrid,Calle de Ayala 19,915757400,Todos los días 13-00h
Birds Rotisserie,Madrid,Calle de Velazquez 136,914314600,Todos los días 13-00h
La Chelinda Chamberi,Madrid,Calle de Fuencarral 114,914488100,Todos los días 13-00h
La Office,Madrid,Calle de Fuencarral 57,915217200,Todos los días 13-00h
Delic,Madrid,Calle de Costanilla de los Angeles 16,915219100,Todos los días 13-00h
La Mary,Madrid,Calle de San Mateo 13,915216400,Todos los días 13-00h
Slaughterhouse,Madrid,Calle de Fuencarral 97,914488300,Todos los días 13-00h
La Trocadero Playa,Madrid,Calle de la Infanta Mercedes 83,914569100,Todos los días 13-00h
Ojalá,Madrid,Calle de San Andres 1,915218600,Ma-D 10-02h
Pez Tortilla,Madrid,Calle del Pez 36,915232400,Todos los días 10-00h
Picos Pardos Chamberi,Madrid,Calle de Fernando el Catolico 80,914482800,Todos los días 13-00h
Picos Pardos Moncloa,Madrid,Calle de la Princesa 76,915439500,Todos los días 13-00h
Picos Pardos Prosperidad,Madrid,Calle de Lopez de Hoyos 77,914165200,Todos los días 13-00h
Grosso Roma,Madrid,Calle de San Mateo 4,915216200,Todos los días 13-00h
Pizzi & Dixie,Madrid,Calle del Almendro 5,913655500,Todos los días 13-00h
Tripea,Madrid,Calle de la Reina 23,915217600,Todos los días 13-00h
La Competencia,Madrid,Calle de Ponzano 65,914419500,Todos los días 13-00h
Arzabal Museo Reina Sofia,Madrid,Calle de Santa Isabel 52,915272700,L-S 09-00h | D 10-23h
Malacatin,Madrid,Calle de la Ruda 5,913655200,Todos los días 13-00h
Celso y Manolo,Madrid,Calle de la Libertad 1,915318379,Todos los días 09-00h
La Tape Chamberi,Madrid,Calle de Eloy Gonzalo 14,914481800,Todos los días 13-00h
Vacarnal,Madrid,Calle del General Peron 40,915563400,L-J 13-00h | V-S 13-01h | D 13-00h
